"gRaw","tRaw","gVal","tVal","type","readTime","sensorTime","estDriftMin","estDriftMax","estTimeStamp","sensorID"
"930","38928","6.6213336","39.09979","1","1514347640","375240","0","0","1514317940","M0002C2ZU4"
"939","39036","6.7120004","38.886814","1","1514347640","375240","0","0","1514318840","M0002C2ZU4"
"857","39416","5.8859262","38.137455","1","1514347640","375240","0","0","1514319740","M0002C2ZU4"
"819","23744","5.5031114","36.73339","1","1514347640","375240","0","0","1514320640","M0002C2ZU4"
"928","38800","6.6011863","39.352207","1","1514347640","375240","0","0","1514321540","M0002C2ZU4"
"931","54888","6.6314087","39.935917","1","1514347640","375240","0","0","1514322440","M0002C2ZU4"
"958","54808","6.9034085","40.093678","1","1514347640","375240","0","0","1514323340","M0002C2ZU4"
"963","54784","6.9537787","40.141006","1","1514347640","375240","0","0","1514324240","M0002C2ZU4"
"1042","54932","7.7496305","39.84915","1","1514347640","375240","0","0","1514325140","M0002C2ZU4"
"1006","54836","7.386964","40.038464","1","1514347640","375240","0","0","1514326040","M0002C2ZU4"
"1021","38516","7.538075","39.912254","1","1514347640","375240","0","0","1514326940","M0002C2ZU4"
"1032","38700","7.6488895","39.549408","1","1514347640","375240","0","0","1514327840","M0002C2ZU4"
"1066","23016","7.9914083","38.169006","1","1514347640","375240","0","0","1514328740","M0002C2ZU4"
"1107","38724","8.404446","39.50208","1","1514347640","375240","0","0","1514329640","M0002C2ZU4"
"1075","38916","8.082075","39.123455","1","1514347640","375240","0","0","1514330540","M0002C2ZU4"
"1088","22916","8.2130375","38.366207","1","1514347640","375240","0","0","1514331440","M0002C2ZU4"
"1095","38852","8.283557","39.24966","1","1514347640","375240","0","0","1514332340","M0002C2ZU4"
"1040","23548","7.729482","37.119904","1","1514347640","375240","0","0","1514333240","M0002C2ZU4"
"1108","23404","8.414519","37.40387","1","1514347640","375240","0","0","1514334140","M0002C2ZU4"
"1203","55076","9.371556","39.56518","1","1514347640","375240","0","0","1514335040","M0002C2ZU4"
"1204","38740","9.381631","39.470528","1","1514347640","375240","0","0","1514335940","M0002C2ZU4"
"1202","38820","9.361482","39.312767","1","1514347640","375240","0","0","1514336840","M0002C2ZU4"
"1196","38996","9.301037","38.965694","1","1514347640","375240","0","0","1514337740","M0002C2ZU4"
"1225","38612","9.593186","39.722942","1","1514347640","375240","0","0","1514338640","M0002C2ZU4"
"1212","38684","9.462223","39.58096","1","1514347640","375240","0","0","1514339540","M0002C2ZU4"
"1217","38652","9.512592","39.644062","1","1514347640","375240","0","0","1514340440","M0002C2ZU4"
"1220","38840","9.542815","39.273327","1","1514347640","375240","0","0","1514341340","M0002C2ZU4"
"1100","38944","8.333926","39.068237","1","1514347640","375240","0","0","1514342240","M0002C2ZU4"
"904","22880","6.359408","38.4372","1","1514347640","375240","0","0","1514343140","M0002C2ZU4"
"738","23696","4.687112","36.828045","1","1514347640","375240","0","0","1514344040","M0002C2ZU4"
"700","7652","4.3042965","36.157566","1","1514347640","375240","0","0","1514344940","M0002C2ZU4"
"940","38592","6.7220745","39.762383","0","1514347634","375180","0","0","1514346734","M0002C2ZU4"
