record-id,month,day,year,hour,minute,second,unknown/start,value,runtime,error-bitfield
492,11,7,17,6,18,16,0,101,9015,0
491,11,7,17,6,3,16,0,110,9000,0
490,11,7,17,5,48,16,0,118,8985,0
489,11,7,17,5,33,16,0,123,8970,0
488,11,7,17,5,18,16,0,122,8955,0
487,11,7,17,5,3,16,0,112,8940,0
486,11,7,17,4,48,16,0,102,8925,0
485,11,7,17,4,33,16,0,94,8910,0
484,11,7,17,4,18,16,0,89,8895,0
483,11,7,17,4,3,16,0,94,8880,0
482,11,7,17,3,48,16,0,103,8865,0
481,11,7,17,3,33,16,0,107,8850,0
480,11,7,17,3,18,16,0,109,8835,0
479,11,7,17,3,3,16,0,115,8820,0
478,11,7,17,2,48,16,0,122,8805,0
477,11,7,17,2,33,16,0,126,8790,0
476,11,7,17,2,18,16,0,114,8775,0
475,11,7,17,2,3,16,0,89,8760,0
474,11,7,17,1,48,16,0,76,8745,0
473,11,7,17,1,33,16,0,76,8730,0
472,11,7,17,1,18,16,0,76,8715,0
471,11,7,17,1,3,16,0,75,8700,0
470,11,7,17,0,48,16,0,74,8685,0
469,11,7,17,0,33,16,0,80,8670,0
468,11,7,17,0,18,16,0,87,8655,0
467,11,7,17,0,3,16,0,83,8640,0
464,11,6,17,23,47,7,0,82,8625,0
463,11,6,17,23,32,7,0,80,8610,0
462,11,6,17,23,17,7,0,75,8595,0
461,11,6,17,23,2,7,0,78,8580,0
460,11,6,17,22,47,7,0,82,8565,0
459,11,6,17,22,32,7,0,83,8550,0
458,11,6,17,22,17,7,0,82,8535,0
457,11,6,17,22,2,7,0,84,8520,0
456,11,6,17,21,47,7,0,88,8505,0
455,11,6,17,21,32,7,0,85,8490,0
454,11,6,17,21,17,7,0,80,8475,0
453,11,6,17,21,2,7,0,81,8460,0
452,11,6,17,20,47,7,0,84,8445,0
451,11,6,17,20,32,7,0,85,8430,0
450,11,6,17,20,17,7,0,86,8415,0
449,11,6,17,20,2,7,0,89,8400,0
448,11,6,17,19,47,7,0,95,8385,0
447,11,6,17,19,32,7,0,90,8370,0
446,11,6,17,19,17,7,0,76,8355,0
445,11,6,17,19,2,7,0,73,8340,0
444,11,6,17,18,47,7,0,73,8325,0
443,11,6,17,18,32,7,0,74,8310,0
442,11,6,17,18,17,7,0,85,8295,0
441,11,6,17,18,2,7,0,100,8280,0
440,11,6,17,17,47,7,0,102,8265,0
439,11,6,17,17,32,7,0,90,8250,0
438,11,6,17,17,17,7,0,82,8235,0
437,11,6,17,17,2,7,0,81,8220,0
436,11,6,17,16,47,7,0,75,8205,0
435,11,6,17,16,32,7,0,70,8190,0
434,11,6,17,16,17,7,0,76,8175,0
430,11,5,17,17,56,42,0,73,6840,0
429,11,5,17,17,41,42,0,72,6825,0
428,11,5,17,17,26,42,0,76,6810,0
427,11,5,17,17,11,42,0,75,6795,0
426,11,5,17,16,56,42,0,74,6780,0
425,11,5,17,16,41,42,0,82,6765,0
424,11,5,17,16,26,42,0,82,6750,0
423,11,5,17,16,11,42,0,74,6735,0
422,11,5,17,15,56,42,0,76,6720,0
421,11,5,17,15,41,42,0,77,6705,0
418,11,5,17,15,25,57,0,81,6690,0
417,11,5,17,15,10,57,0,89,6675,0
416,11,5,17,14,55,57,0,89,6660,0
415,11,5,17,14,40,57,0,84,6645,0
414,11,5,17,14,25,57,0,93,6630,0
413,11,5,17,14,10,57,0,110,6615,0
