record_id,month,day,year,hour,minute,second,timestamp,Fsensor-start,value,sensor-runtime,error-bitfield,record-type,reading-type,FerrorLO,arrow
89,11,1,17,0,36,59,1509467819,0,87,60,0,-1,-1,-1,-1
90,11,1,17,0,51,59,1509468719,0,72,75,0,-1,-1,-1,-1
91,11,1,17,1,6,59,1509469619,0,67,90,0,-1,-1,-1,-1
94,11,1,17,1,22,6,1509470526,0,78,105,0,-1,-1,-1,-1
95,11,1,17,1,37,6,1509471426,0,82,120,0,-1,-1,-1,-1
98,11,1,17,1,52,6,1509472326,0,67,135,0,-1,-1,-1,-1
101,11,1,17,2,7,53,1509473273,0,68,150,0,-1,-1,-1,-1
102,11,1,17,2,22,53,1509474173,0,84,165,0,-1,-1,-1,-1
103,11,1,17,2,37,53,1509475073,0,92,180,0,-1,-1,-1,-1
106,11,1,17,2,53,2,1509475982,0,92,195,0,-1,-1,-1,-1
107,11,1,17,3,8,2,1509476882,0,86,210,0,-1,-1,-1,-1
108,11,1,17,3,23,2,1509477782,0,77,225,0,-1,-1,-1,-1
109,11,1,17,3,38,2,1509478682,0,75,240,0,-1,-1,-1,-1
110,11,1,17,3,53,2,1509479582,0,81,255,0,-1,-1,-1,-1
111,11,1,17,4,8,2,1509480482,0,83,270,0,-1,-1,-1,-1
112,11,1,17,4,23,2,1509481382,0,78,285,0,-1,-1,-1,-1
113,11,1,17,4,38,2,1509482282,0,75,300,0,-1,-1,-1,-1
116,11,1,17,4,52,33,1509483153,0,81,315,0,-1,-1,-1,-1
117,11,1,17,5,7,33,1509484053,0,81,330,0,-1,-1,-1,-1
120,11,1,17,5,23,6,1509484986,0,78,345,0,-1,-1,-1,-1
121,11,1,17,5,38,6,1509485886,0,78,360,0,-1,-1,-1,-1
122,11,1,17,5,53,6,1509486786,0,79,375,0,-1,-1,-1,-1
123,11,1,17,6,8,6,1509487686,0,81,390,0,-1,-1,-1,-1
124,11,1,17,6,23,6,1509488586,0,77,405,0,-1,-1,-1,-1
125,11,1,17,6,38,6,1509489486,0,67,420,0,-1,-1,-1,-1
126,11,1,17,6,53,6,1509490386,0,62,435,0,-1,-1,-1,-1
129,11,1,17,7,8,44,1509491324,0,61,450,0,-1,-1,-1,-1
130,11,1,17,7,23,44,1509492224,0,61,465,0,-1,-1,-1,-1
133,11,1,17,7,39,46,1509493186,0,71,480,0,-1,-1,-1,-1
134,11,1,17,7,54,46,1509494086,0,82,495,0,-1,-1,-1,-1
135,11,1,17,8,9,46,1509494986,0,78,510,0,-1,-1,-1,-1
136,11,1,17,8,24,46,1509495886,0,64,525,0,-1,-1,-1,-1
137,11,1,17,8,39,46,1509496786,0,58,540,0,-1,-1,-1,-1
138,11,1,17,8,54,46,1509497686,0,53,555,0,-1,-1,-1,-1
139,11,1,17,9,9,46,1509498586,0,56,570,0,-1,-1,-1,-1
140,11,1,17,9,24,46,1509499486,0,64,585,0,-1,-1,-1,-1
141,11,1,17,9,39,46,1509500386,0,56,600,0,-1,-1,-1,-1
142,11,1,17,9,54,46,1509501286,0,52,615,0,-1,-1,-1,-1
143,11,1,17,10,9,46,1509502186,0,54,630,0,-1,-1,-1,-1
144,11,1,17,10,24,46,1509503086,0,62,645,0,-1,-1,-1,-1
145,11,1,17,10,39,46,1509503986,0,65,660,0,-1,-1,-1,-1
146,11,1,17,10,54,46,1509504886,0,64,675,0,-1,-1,-1,-1
147,11,1,17,11,9,46,1509505786,0,68,690,0,-1,-1,-1,-1
148,11,1,17,11,24,46,1509506686,0,69,705,0,-1,-1,-1,-1
149,11,1,17,11,39,46,1509507586,0,72,720,0,-1,-1,-1,-1
150,11,1,17,11,54,46,1509508486,0,67,735,0,-1,-1,-1,-1
151,11,1,17,12,9,46,1509509386,0,59,750,0,-1,-1,-1,-1
152,11,1,17,12,24,46,1509510286,0,57,765,0,-1,-1,-1,-1
153,11,1,17,12,39,46,1509511186,0,55,780,0,-1,-1,-1,-1
154,11,1,17,12,54,46,1509512086,0,62,795,0,-1,-1,-1,-1
155,11,1,17,13,9,46,1509512986,0,70,810,0,-1,-1,-1,-1
156,11,1,17,13,24,46,1509513886,0,59,825,0,-1,-1,-1,-1
157,11,1,17,13,39,46,1509514786,0,62,840,0,-1,-1,-1,-1
160,11,1,17,13,55,25,1509515725,0,93,855,0,-1,-1,-1,-1
161,11,1,17,14,10,25,1509516625,0,112,870,0,-1,-1,-1,-1
162,11,1,17,14,25,25,1509517525,0,115,885,0,-1,-1,-1,-1
163,11,1,17,14,40,25,1509518425,0,107,900,0,-1,-1,-1,-1
164,11,1,17,14,55,25,1509519325,0,105,915,0,-1,-1,-1,-1
165,11,1,17,15,10,25,1509520225,0,129,930,0,-1,-1,-1,-1
166,11,1,17,15,25,25,1509521125,0,148,945,0,-1,-1,-1,-1
167,11,1,17,15,40,25,1509522025,0,129,960,0,-1,-1,-1,-1
168,11,1,17,15,55,25,1509522925,0,97,975,0,-1,-1,-1,-1
169,11,1,17,16,10,25,1509523825,0,87,990,0,-1,-1,-1,-1
170,11,1,17,16,25,25,1509524725,0,88,1005,0,-1,-1,-1,-1
171,11,1,17,16,40,25,1509525625,0,85,1020,0,-1,-1,-1,-1
172,11,1,17,16,55,25,1509526525,0,72,1035,0,-1,-1,-1,-1
173,11,1,17,17,10,25,1509527425,0,65,1050,0,-1,-1,-1,-1
174,11,1,17,17,25,25,1509528325,0,82,1065,0,-1,-1,-1,-1
175,11,1,17,17,40,25,1509529225,0,119,1080,0,-1,-1,-1,-1
176,11,1,17,17,55,25,1509530125,0,118,1095,0,-1,-1,-1,-1
177,11,1,17,18,10,25,1509531025,0,106,1110,0,-1,-1,-1,-1
178,11,1,17,18,25,25,1509531925,0,96,1125,0,-1,-1,-1,-1
179,11,1,17,18,40,25,1509532825,0,83,1140,0,-1,-1,-1,-1
182,11,1,17,18,55,32,1509533732,0,85,1155,0,-1,-1,-1,-1
183,11,1,17,19,10,32,1509534632,0,80,1170,0,-1,-1,-1,-1
184,11,1,17,19,25,32,1509535532,0,90,1185,0,-1,-1,-1,-1
185,11,1,17,19,40,32,1509536432,0,104,1200,0,-1,-1,-1,-1
188,11,1,17,19,55,21,1509537321,0,102,1215,0,-1,-1,-1,-1
193,11,1,17,20,11,42,1509538302,0,90,1230,0,-1,-1,-1,-1
194,11,1,17,20,26,42,1509539202,0,83,1245,0,-1,-1,-1,-1
195,11,1,17,20,41,42,1509540102,0,89,1260,0,-1,-1,-1,-1
196,11,1,17,20,56,42,1509541002,0,98,1275,0,-1,-1,-1,-1
197,11,1,17,21,11,42,1509541902,0,94,1290,0,-1,-1,-1,-1
198,11,1,17,21,26,42,1509542802,0,94,1305,0,-1,-1,-1,-1
199,11,1,17,21,41,42,1509543702,0,97,1320,0,-1,-1,-1,-1
200,11,1,17,21,56,42,1509544602,0,87,1335,0,-1,-1,-1,-1
201,11,1,17,22,11,42,1509545502,0,90,1350,0,-1,-1,-1,-1
202,11,1,17,22,26,42,1509546402,0,95,1365,0,-1,-1,-1,-1
203,11,1,17,22,41,42,1509547302,0,87,1380,0,-1,-1,-1,-1
204,11,1,17,22,56,42,1509548202,0,86,1395,0,-1,-1,-1,-1
205,11,1,17,23,11,42,1509549102,0,85,1410,0,-1,-1,-1,-1
206,11,1,17,23,26,42,1509550002,0,84,1425,0,-1,-1,-1,-1
207,11,1,17,23,41,42,1509550902,0,96,1440,0,-1,-1,-1,-1
208,11,1,17,23,56,42,1509551802,0,103,1455,0,-1,-1,-1,-1
209,11,2,17,0,11,42,1509552702,0,97,1470,0,-1,-1,-1,-1
212,11,2,17,0,27,51,1509553671,0,96,1485,0,-1,-1,-1,-1
213,11,2,17,0,42,51,1509554571,0,92,1500,0,-1,-1,-1,-1
214,11,2,17,0,57,51,1509555471,0,78,1515,0,-1,-1,-1,-1
215,11,2,17,1,12,51,1509556371,0,73,1530,0,-1,-1,-1,-1
216,11,2,17,1,27,51,1509557271,0,74,1545,0,-1,-1,-1,-1
217,11,2,17,1,42,51,1509558171,0,84,1560,0,-1,-1,-1,-1
218,11,2,17,1,57,51,1509559071,0,107,1575,0,-1,-1,-1,-1
219,11,2,17,2,12,51,1509559971,0,128,1590,0,-1,-1,-1,-1
220,11,2,17,2,27,51,1509560871,0,133,1605,0,-1,-1,-1,-1
221,11,2,17,2,42,51,1509561771,0,127,1620,0,-1,-1,-1,-1
222,11,2,17,2,57,51,1509562671,0,117,1635,0,-1,-1,-1,-1
223,11,2,17,3,12,51,1509563571,0,114,1650,0,-1,-1,-1,-1
224,11,2,17,3,27,51,1509564471,0,115,1665,0,-1,-1,-1,-1
225,11,2,17,3,42,51,1509565371,0,105,1680,0,-1,-1,-1,-1
226,11,2,17,3,57,51,1509566271,0,97,1695,0,-1,-1,-1,-1
227,11,2,17,4,12,51,1509567171,0,110,1710,0,-1,-1,-1,-1
228,11,2,17,4,27,51,1509568071,0,126,1725,0,-1,-1,-1,-1
229,11,2,17,4,42,51,1509568971,0,125,1740,0,-1,-1,-1,-1
230,11,2,17,4,57,51,1509569871,0,108,1755,0,-1,-1,-1,-1
231,11,2,17,5,12,51,1509570771,0,104,1770,0,-1,-1,-1,-1
232,11,2,17,5,27,51,1509571671,0,113,1785,0,-1,-1,-1,-1
233,11,2,17,5,42,51,1509572571,0,106,1800,0,-1,-1,-1,-1
234,11,2,17,5,57,51,1509573471,0,98,1815,0,-1,-1,-1,-1
235,11,2,17,6,12,51,1509574371,0,100,1830,0,-1,-1,-1,-1
236,11,2,17,6,27,51,1509575271,0,99,1845,0,-1,-1,-1,-1
237,11,2,17,6,42,51,1509576171,0,95,1860,0,-1,-1,-1,-1
238,11,2,17,6,57,51,1509577071,0,92,1875,0,-1,-1,-1,-1
241,11,2,17,7,13,24,1509578004,0,98,1890,0,-1,-1,-1,-1
242,11,2,17,7,28,24,1509578904,0,105,1905,0,-1,-1,-1,-1
243,11,2,17,7,43,24,1509579804,0,106,1920,0,-1,-1,-1,-1
244,11,2,17,7,58,24,1509580704,0,100,1935,0,-1,-1,-1,-1
245,11,2,17,8,13,24,1509581604,0,103,1950,0,-1,-1,-1,-1
246,11,2,17,8,28,24,1509582504,0,110,1965,0,-1,-1,-1,-1
247,11,2,17,8,43,24,1509583404,0,103,1980,0,-1,-1,-1,-1
248,11,2,17,8,58,24,1509584304,0,92,1995,0,-1,-1,-1,-1
249,11,2,17,9,13,24,1509585204,0,87,2010,0,-1,-1,-1,-1
250,11,2,17,9,28,24,1509586104,0,84,2025,0,-1,-1,-1,-1
251,11,2,17,9,43,24,1509587004,0,80,2040,0,-1,-1,-1,-1
252,11,2,17,9,58,24,1509587904,0,82,2055,0,-1,-1,-1,-1
253,11,2,17,10,13,24,1509588804,0,85,2070,0,-1,-1,-1,-1
254,11,2,17,10,28,24,1509589704,0,86,2085,0,-1,-1,-1,-1
255,11,2,17,10,43,24,1509590604,0,87,2100,0,-1,-1,-1,-1
256,11,2,17,10,58,24,1509591504,0,85,2115,0,-1,-1,-1,-1
257,11,2,17,11,13,24,1509592404,0,89,2130,0,-1,-1,-1,-1
258,11,2,17,11,28,24,1509593304,0,104,2145,0,-1,-1,-1,-1
259,11,2,17,11,43,24,1509594204,0,108,2160,0,-1,-1,-1,-1
260,11,2,17,11,58,24,1509595104,0,101,2175,0,-1,-1,-1,-1
