"gRaw","tRaw","gVal","tVal","type","readTime","sensorTime","estDrift","estTimeStamp"
"14","25626","-2.6065187","25626","0","1511419479552","1295880","0","1511419479552"
"15","25690","-2.5964446","25690","0","1511419479552","1295880","0","1511419479492"
"15","25686","-2.5964446","25686","0","1511419479552","1295880","0","1511419479432"
"15","25686","-2.5964446","25686","0","1511419479552","1295880","0","1511419479372"
"16","25690","-2.5863705","25690","0","1511419479552","1295880","0","1511419479312"
"15","25690","-2.5964446","25690","0","1511419479552","1295880","0","1511419479252"
"16","25678","-2.5863705","25678","0","1511419479552","1295880","0","1511419479192"
"15","25674","-2.5964446","25674","0","1511419479552","1295880","0","1511419479132"
"15","25666","-2.5964446","25666","0","1511419479552","1295880","0","1511419479072"
"16","25682","-2.5863705","25682","0","1511419479552","1295880","0","1511419479012"
"15","25666","-2.5964446","25666","0","1511419479552","1295880","0","1511419478952"
"16","25654","-2.5863705","25654","0","1511419479552","1295880","0","1511419478892"
"16","25654","-2.5863705","25654","0","1511419479552","1295880","0","1511419478832"
"15","25658","-2.5964446","25658","0","1511419479552","1295880","0","1511419478772"
"16","25646","-2.5863705","25646","0","1511419479552","1295880","0","1511419478712"
"16","25626","-2.5863705","25626","0","1511419479552","1295880","0","1511419478652"
"2364","7844","21.067556","7844","1","1511419479552","1295880","0","1511419477752"
"0","25658","-2.7475557","25658","1","1511419479552","1295880","0","1511419476852"
"0","25542","-2.7475557","25542","1","1511419479552","1295880","0","1511419475952"
"0","25462","-2.7475557","25462","1","1511419479552","1295880","0","1511419475052"
"0","25502","-2.7475557","25502","1","1511419479552","1295880","0","1511419474152"
"0","25514","-2.7475557","25514","1","1511419479552","1295880","0","1511419473252"
"0","25594","-2.7475557","25594","1","1511419479552","1295880","0","1511419472352"
"0","25658","-2.7475557","25658","1","1511419479552","1295880","0","1511419471452"
"0","25674","-2.7475557","25674","1","1511419479552","1295880","0","1511419470552"
"0","25706","-2.7475557","25706","1","1511419479552","1295880","0","1511419469652"
"0","25670","-2.7475557","25670","1","1511419479552","1295880","0","1511419468752"
"0","25638","-2.7475557","25638","1","1511419479552","1295880","0","1511419467852"
"0","25630","-2.7475557","25630","1","1511419479552","1295880","0","1511419466952"
"0","25750","-2.7475557","25750","1","1511419479552","1295880","0","1511419466052"
"0","25710","-2.7475557","25710","1","1511419479552","1295880","0","1511419465152"
"0","25690","-2.7475557","25690","1","1511419479552","1295880","0","1511419464252"
"0","25674","-2.7475557","25674","1","1511419479552","1295880","0","1511419463352"
"0","25554","-2.7475557","25554","1","1511419479552","1295880","0","1511419462452"
"0","25502","-2.7475557","25502","1","1511419479552","1295880","0","1511419461552"
"0","25446","-2.7475557","25446","1","1511419479552","1295880","0","1511419460652"
"0","25346","-2.7475557","25346","1","1511419479552","1295880","0","1511419459752"
"0","25358","-2.7475557","25358","1","1511419479552","1295880","0","1511419458852"
"0","25322","-2.7475557","25322","1","1511419479552","1295880","0","1511419457952"
"0","25210","-2.7475557","25210","1","1511419479552","1295880","0","1511419457052"
"0","8834","-2.7475557","8834","1","1511419479552","1295880","0","1511419456152"
"0","25138","-2.7475557","25138","1","1511419479552","1295880","0","1511419455252"
"0","24986","-2.7475557","24986","1","1511419479552","1295880","0","1511419454352"
"2512","7476","22.55852","7476","1","1511419479552","1295880","0","1511419453452"
"2568","7308","23.122667","7308","1","1511419479552","1295880","0","1511419452552"
"2468","7492","22.11526","7492","1","1511419479552","1295880","0","1511419451652"
"2482","23468","22.256296","23468","1","1511419479552","1295880","0","1511419450752"
"2383","7472","21.258965","7472","1","1511419479552","1295880","0","1511419449852"
