"gRaw","tRaw","gVal","tVal","type","readTime","sensorTime","estDrift","estTimeStamp"
"14","25626","-2.6065187","25626","0","1511418869704","1295880","0","1511418869704","15"
"15","25690","-2.5964446","25690","0","1511418869704","1295880","0","1511418869644","14"
"15","25686","-2.5964446","25686","0","1511418869704","1295880","0","1511418869584","13"
"15","25686","-2.5964446","25686","0","1511418869704","1295880","0","1511418869524","12"
"16","25690","-2.5863705","25690","0","1511418869704","1295880","0","1511418869464","11"
"15","25690","-2.5964446","25690","0","1511418869704","1295880","0","1511418869404","10"
"16","25678","-2.5863705","25678","0","1511418869704","1295880","0","1511418869344","9"
"15","25674","-2.5964446","25674","0","1511418869704","1295880","0","1511418869284","8"
"15","25666","-2.5964446","25666","0","1511418869704","1295880","0","1511418869224","7"
"16","25682","-2.5863705","25682","0","1511418869704","1295880","0","1511418869164","6"
"15","25666","-2.5964446","25666","0","1511418869704","1295880","0","1511418869104","5"
"16","25654","-2.5863705","25654","0","1511418869704","1295880","0","1511418869044","4"
"16","25654","-2.5863705","25654","0","1511418869704","1295880","0","1511418868984","3"
"15","25658","-2.5964446","25658","0","1511418869704","1295880","0","1511418868924","2"
"16","25646","-2.5863705","25646","0","1511418869704","1295880","0","1511418868864","1"
"16","25626","-2.5863705","25626","0","1511418869704","1295880","0","1511418868804","0"
"2364","7844","21.067556","7844","1","1511418869704","1295880","0","1511418869704","31"
"0","25658","-2.7475557","25658","1","1511418869704","1295880","0","1511418868804","30"
"0","25542","-2.7475557","25542","1","1511418869704","1295880","0","1511418867904","29"
"0","25462","-2.7475557","25462","1","1511418869704","1295880","0","1511418867004","28"
"0","25502","-2.7475557","25502","1","1511418869704","1295880","0","1511418866104","27"
"0","25514","-2.7475557","25514","1","1511418869704","1295880","0","1511418865204","26"
"0","25594","-2.7475557","25594","1","1511418869704","1295880","0","1511418864304","25"
"0","25658","-2.7475557","25658","1","1511418869704","1295880","0","1511418863404","24"
"0","25674","-2.7475557","25674","1","1511418869704","1295880","0","1511418862504","23"
"0","25706","-2.7475557","25706","1","1511418869704","1295880","0","1511418861604","22"
"0","25670","-2.7475557","25670","1","1511418869704","1295880","0","1511418860704","21"
"0","25638","-2.7475557","25638","1","1511418869704","1295880","0","1511418859804","20"
"0","25630","-2.7475557","25630","1","1511418869704","1295880","0","1511418858904","19"
"0","25750","-2.7475557","25750","1","1511418869704","1295880","0","1511418858004","18"
"0","25710","-2.7475557","25710","1","1511418869704","1295880","0","1511418857104","17"
"0","25690","-2.7475557","25690","1","1511418869704","1295880","0","1511418856204","16"
"0","25674","-2.7475557","25674","1","1511418869704","1295880","0","1511418855304","15"
"0","25554","-2.7475557","25554","1","1511418869704","1295880","0","1511418854404","14"
"0","25502","-2.7475557","25502","1","1511418869704","1295880","0","1511418853504","13"
"0","25446","-2.7475557","25446","1","1511418869704","1295880","0","1511418852604","12"
"0","25346","-2.7475557","25346","1","1511418869704","1295880","0","1511418851704","11"
"0","25358","-2.7475557","25358","1","1511418869704","1295880","0","1511418850804","10"
"0","25322","-2.7475557","25322","1","1511418869704","1295880","0","1511418849904","9"
"0","25210","-2.7475557","25210","1","1511418869704","1295880","0","1511418849004","8"
"0","8834","-2.7475557","8834","1","1511418869704","1295880","0","1511418848104","7"
"0","25138","-2.7475557","25138","1","1511418869704","1295880","0","1511418847204","6"
"0","24986","-2.7475557","24986","1","1511418869704","1295880","0","1511418846304","5"
"2512","7476","22.55852","7476","1","1511418869704","1295880","0","1511418845404","4"
"2568","7308","23.122667","7308","1","1511418869704","1295880","0","1511418844504","3"
"2468","7492","22.11526","7492","1","1511418869704","1295880","0","1511418843604","2"
"2482","23468","22.256296","23468","1","1511418869704","1295880","0","1511418842704","1"
"2383","7472","21.258965","7472","1","1511418869704","1295880","0","1511418841804","0"
