"gRaw","tRaw","gVal","tVal","type","readTime","sensorTime","estDriftMin","estDriftMax","estTimeStamp","sensorID"
"2533","3596","22.770073","27.1174","0","1511859937","740340","0","0","1511859037","M000285DRH"
"2517","19896","22.60889","27.167799","0","1511859937","740340","0","0","1511859097","M000285DRH"
"2462","19820","22.054817","27.2134","0","1511859937","740340","0","0","1511859157","M000285DRH"
"34856","3402","18.287111","27.233799","0","1511859937","740340","0","0","1511859217","M000285DRH"
"34574","4194","15.446223","29.2162","0","1511859937","740340","0","0","1511859277","M000285DRH"
"1813","4964","15.516741","28.7542","0","1511859937","740340","0","0","1511859337","M000285DRH"
"2010","4388","17.501335","29.0998","1","1511859557","739980","0","0","1511829857","M000285DRH"
"2022","4632","17.622223","28.9534","0","1511859557","739980","0","0","1511858657","M000285DRH"
"2039","20896","17.793482","29.0254","0","1511859557","739980","0","0","1511858717","M000285DRH"
"1971","4388","17.108444","29.0998","0","1511859557","739980","0","0","1511858777","M000285DRH"
"34404","20666","13.73363","29.163399","0","1511859557","739980","0","0","1511858837","M000285DRH"
"33376","20702","3.377482","29.1418","0","1511859557","739980","0","0","1511858897","M000285DRH"
"33220","27698","1.8059262","22.486599","0","1511859557","739980","0","0","1511858957","M000285DRH"
"360","45660","0.87911123","23.997398","0","1511859214","739620","0","0","1511858314","M000285DRH"
"33081","63806","0.40562975","22.940199","0","1511859214","739620","0","0","1511858374","M000285DRH"
"320","14940","0.47614813","22.7686","0","1511859105","739500","0","0","1511858205","M000285DRH"
"183","64320","-0.904","22.6318","0","1511859105","739500","0","0","1511858265","M000285DRH"
"0","14846","-2.7475557","22.824999","0","1511859105","739500","0","0","1511858325","M000285DRH"
"918","9624","6.500445","23.500599","0","1511859105","739500","0","0","1511858385","M000285DRH"
"895","9808","6.2687416","23.3902","0","1511858869","739260","0","0","1511857969","M000285DRH"
"860","26464","5.916148","23.227","0","1511858869","739260","0","0","1511858029","M000285DRH"
"851","26820","5.825482","23.0134","0","1511858869","739260","0","0","1511858089","M000285DRH"
"720","9246","4.5057783","23.7274","1","1511858644","739020","0","0","1511828944","M000285DRH"
"720","9300","4.5057783","23.695","0","1511858644","739020","0","0","1511857744","M000285DRH"
"33055","9270","0.14370367","23.713","0","1511858644","739020","0","0","1511857804","M000285DRH"
"0","9246","-2.7475557","23.7274","0","1511858644","739020","0","0","1511857864","M000285DRH"
"32930","9098","-1.1155556","23.8162","0","1511858644","739020","0","0","1511857924","M000285DRH"
"209","8886","-0.64207417","23.9434","0","1511858434","738840","0","0","1511857534","M000285DRH"
"213","8742","-0.6017778","24.0298","0","1511858434","738840","0","0","1511857594","M000285DRH"
"204","9082","-0.69244444","23.8258","0","1511858434","738840","0","0","1511857654","M000285DRH"
"203","9070","-0.7025186","23.833","0","1511858434","738840","0","0","1511857714","M000285DRH"
"204","9070","-0.69244444","23.833","0","1511858434","738840","0","0","1511857774","M000285DRH"
"204","9062","-0.69244444","23.8378","0","1511858434","738840","0","0","1511857834","M000285DRH"
"203","9042","-0.7025186","23.8498","0","1511858434","738840","0","0","1511857894","M000285DRH"
"204","9018","-0.69244444","23.864199","0","1511858434","738840","0","0","1511857954","M000285DRH"
"203","9002","-0.7025186","23.873798","0","1511858434","738840","0","0","1511858014","M000285DRH"
"201","8930","-0.7226666","23.917","0","1511858434","738840","0","0","1511858074","M000285DRH"
"198","8686","-0.7528889","24.0634","0","1511858434","738840","0","0","1511858134","M000285DRH"
"0","57654","-2.7475557","24.1738","1","1511857770","738180","0","0","1511828070","M000285DRH"
"194","8474","-0.79318523","24.1906","0","1511857770","738180","0","0","1511856870","M000285DRH"
"0","8786","-2.7475557","24.003399","1","1511857678","738060","0","0","1511827978","M000285DRH"
"0","8674","-2.7475557","24.070599","1","1511857678","738060","0","0","1511828878","M000285DRH"
"0","9134","-2.7475557","23.7946","1","1511857678","738060","0","0","1511829778","M000285DRH"
"0","9110","-2.7475557","23.809","1","1511857678","738060","0","0","1511830678","M000285DRH"
"0","9278","-2.7475557","23.708199","1","1511857678","738060","0","0","1511831578","M000285DRH"
"0","9450","-2.7475557","23.605","1","1511857678","738060","0","0","1511832478","M000285DRH"
"0","9418","-2.7475557","23.624199","1","1511857678","738060","0","0","1511833378","M000285DRH"
"0","25770","-2.7475557","23.643398","1","1511857678","738060","0","0","1511834278","M000285DRH"
"0","25754","-2.7475557","23.653","1","1511857678","738060","0","0","1511835178","M000285DRH"
"0","25722","-2.7475557","23.6722","1","1511857678","738060","0","0","1511836078","M000285DRH"
"0","25738","-2.7475557","23.6626","1","1511857678","738060","0","0","1511836978","M000285DRH"
"0","9410","-2.7475557","23.629","1","1511857678","738060","0","0","1511837878","M000285DRH"
"0","9422","-2.7475557","23.6218","1","1511857678","738060","0","0","1511838778","M000285DRH"
"0","9402","-2.7475557","23.6338","1","1511857678","738060","0","0","1511839678","M000285DRH"
"0","9426","-2.7475557","23.6194","1","1511857678","738060","0","0","1511840578","M000285DRH"
"0","9438","-2.7475557","23.6122","1","1511857678","738060","0","0","1511841478","M000285DRH"
"0","25806","-2.7475557","23.6218","1","1511857678","738060","0","0","1511842378","M000285DRH"
"0","25754","-2.7475557","23.653","1","1511857678","738060","0","0","1511843278","M000285DRH"
"0","9298","-2.7475557","23.6962","1","1511857678","738060","0","0","1511844178","M000285DRH"
"0","25634","-2.7475557","23.724998","1","1511857678","738060","0","0","1511845078","M000285DRH"
"0","9134","-2.7475557","23.7946","1","1511857678","738060","0","0","1511845978","M000285DRH"
"0","8990","-2.7475557","23.881","1","1511857678","738060","0","0","1511846878","M000285DRH"
"0","9018","-2.7475557","23.864199","1","1511857678","738060","0","0","1511847778","M000285DRH"
"0","8554","-2.7475557","24.1426","1","1511857678","738060","0","0","1511848678","M000285DRH"
"156","8446","-1.176","24.2074","1","1511857678","738060","0","0","1511849578","M000285DRH"
"0","8602","-2.7475557","24.1138","1","1511857678","738060","0","0","1511850478","M000285DRH"
"0","8690","-2.7475557","24.060999","1","1511857678","738060","0","0","1511851378","M000285DRH"
